text,label
성과급 관련 안내입니다.,0
건강기능식품 할인 중! 지금 바로!,1
로또 1등 번호 제공! 100% 보장!,1
첨부드린 문서 검토 바랍니다.,0
프로젝트 관련 공지사항입니다.,0
보안 교육 신청 바랍니다.,0
오늘 날씨가 좋네요. 즐거운 하루 되세요.,0
회의 안건 전달드립니다.,0
오늘 점심 회의 12시로 변경되었습니다.,0
성과급 관련 안내입니다.,0
출근 시간 관련 안내드립니다.,0
사내 이벤트 안내드립니다.,0
프로젝트 관련 공지사항입니다.,0
설문조사 참여 부탁드립니다.,0
이벤트에 당첨되셨습니다!,1
지금 가입 시 10만원 쿠폰 지급!,1
입금이 확인되었습니다.,0
오늘만 특가! 전 제품 70% 할인!,1
오늘 날씨가 좋네요. 즐거운 하루 되세요.,0
회의 링크 전달드립니다.,0
건물 정기 소독 일정 공유드립니다.,0
이벤트 종료 임박! 서두르세요!,1
사내 시스템 점검 안내입니다.,0
파일 첨부가 누락되었습니다. 다시 전달드립니다.,0
보너스 지급 중! 지금 바로!,1
오늘 날씨가 좋네요. 즐거운 하루 되세요.,0
지금 로그인하지 않으면 계정이 잠깁니다.,1
사내 이벤트 안내드립니다.,0
로또 1등 번호 제공! 100% 보장!,1
고객 문의 내역 정리드립니다.,0
영업 실적 공유드립니다.,0
보안 교육 신청 바랍니다.,0
고객님의 택배가 반송되었습니다. 확인 필수!,1
최고 인기 브랜드 세일 중!,1
업데이트 내용 전달드립니다.,0
무료 쿠폰을 지금 확인하세요!,1
실시간 뉴스 보기만 해도 포인트 적립!,1
보너스 지급 중! 지금 바로!,1
무료체험 신청하면 사은품 증정!,1
내일 일정 확인 부탁드립니다.,0
건강기능식품 할인 중! 지금 바로!,1
이메일 주소를 업데이트 하세요.,1
이전 메일 참고 부탁드립니다.,0
오늘 점심 회의 12시로 변경되었습니다.,0
입금이 확인되었습니다.,0
이벤트에 당첨되셨습니다!,1
당신만을 위한 특별한 혜택!,1
VIP 전용 특가 혜택을 확인하세요!,1
최고 인기 브랜드 세일 중!,1
이메일 주소를 업데이트 하세요.,1
비밀번호가 만료되었습니다. 여기를 클릭하세요.,1
회원가입만 해도 적립금 지급!,1
