text,label
RE: 정기 점검 안내드립니다.,0
카카오 채널 추가 시 사은품 제공!,1
팀 회의실 예약 완료했습니다. 감사합니다.,0
한정 수량! 최신폰 0원!,1
RE: 이벤트에 참여하고 스타벅스 기프티콘 받으세요!,1
친구 생일 선물 뭐가 좋을까?,0
지급 오류 발생. 계좌 인증 필수,1
RE: 기기 등록 요청 알림,1
바빠? 잠깐 통화돼?,0
오늘도 화이팅!,0
업무 자료를 확인해주세요.,0
RE: 개인정보 확인을 완료해주세요.,1
문서 검토 후 피드백 주세요.,0
정기 점검 안내드립니다.,0
바빠? 잠깐 통화돼?,0
RE: 문의주셔서 감사합니다.,0
3일간 무료 체험 신청하세요!,1
최대 70% 세일! 오늘만!,1
RE: 비밀번호 재설정이 필요합니다.,1
오늘도 화이팅!,0
다음 프로젝트 계획서를 공유드립니다.,0
RE: 이체 오류로 계정이 잠겼습니다.,1
개인정보 확인을 완료해주세요.,1
내일 날씨 좋대~,0
오늘도 화이팅! 감사합니다.,0
조심히 다녀와!,0
RE: 출장 보고서 작성 부탁드립니다.,0
귀하의 계정이 로그인되었습니다. 확인이 필요합니다. 감사합니다.,1
고객의 소리에 답변드립니다.,0
친구 생일 선물 뭐가 좋을까?,0
이용 요금 인상 예정 공지,0
금주 회의록을 첨부드립니다.,0
RE: 이메일 확인 부탁드립니다.,0
이용 요금 인상 예정 공지,0
RE: 문서 검토 후 피드백 주세요.,0
업무 자료를 확인해주세요.,0
오늘도 화이팅!,0
출장 보고서 작성 부탁드립니다.,0
고객의 소리에 답변드립니다.,0
포인트 3만원 즉시 지급!,1
RE: 추석 연휴 고객센터 운영시간 안내,0
RE: 개인정보 처리방침이 업데이트되었습니다.,0
RE: 문서 검토 후 피드백 주세요.,0
금주 회의록을 첨부드립니다. 감사합니다.,0
다음 프로젝트 계획서를 공유드립니다.,0
RE: 이체 오류로 계정이 잠겼습니다.,1
서버 점검 일정 안내 감사합니다.,0
RE: 이용 요금 인상 예정 공지,0
회의 시간 변경되었습니다.,0
공지사항: 앱 업데이트 안내 감사합니다.,0
서비스 이용약관 변경 안내 감사합니다.,0
드라마 봤어?,0
이용 요금 인상 예정 공지 감사합니다.,0
3일간 무료 체험 신청하세요! 감사합니다.,1
업무 자료를 확인해주세요.,0
드라마 봤어?,0
오늘도 화이팅!,0
팀 회의실 예약 완료했습니다.,0
RE: 공지사항: 앱 업데이트 안내,0
잘 자요!,0
RE: 주말에 뭐해?,0
이메일 주소 확인 요청,1
RE: 지금 가입하면 경품 증정!,1
지급 오류 발생. 계좌 인증 필수,1
출장 보고서 작성 부탁드립니다.,0
오늘 점심 뭐 먹을까? 감사합니다.,0
RE: 문서 검토 후 피드백 주세요.,0
업무 자료를 확인해주세요. 감사합니다.,0
조심히 다녀와!,0
보안 업데이트 필요,1
보안 경고: 의심스러운 활동 감지,1
팀 회의실 예약 완료했습니다.,0
RE: 오늘 점심 뭐 먹을까?,0
다음 프로젝트 계획서를 공유드립니다.,0
내일 날씨 좋대~,0
정기 점검 안내드립니다.,0
이용 요금 인상 예정 공지,0
